date,open,high,low,close,volume,ticker
2020-01-02,71.7210264890596,72.77660582997152,71.46681974859514,72.71607971191406,135480400,AAPL
2020-01-03,71.9413434276417,72.77176000550182,71.78397699623217,72.0091323852539,146322800,AAPL
2020-01-06,71.12786596061405,72.62164622763687,70.87607527260708,72.5829086303711,118387200,AAPL
2020-01-07,72.59258596559819,72.84921605109494,72.02122310005907,72.24153900146484,108872000,AAPL
2020-01-08,71.94374389134458,73.70626361557562,71.94374389134458,73.40363311767578,132079200,AAPL
2020-01-09,74.38418105419532,75.15649496744561,74.13239770457567,74.96281433105469,170108400,AAPL
2020-01-10,75.19764374317383,75.69880172853615,74.62869680726308,75.13227081298828,140644800,AAPL
2020-01-13,75.44942165682815,76.76404682603398,75.3307854721379,76.73741149902344,121532000,AAPL
2020-01-14,76.67448226895164,76.88511195829709,75.57774940600967,75.70121765136719,161954400,AAPL
2020-01-15,75.50027617412253,76.38395596192076,74.94343149157285,75.37680053710938,121923600,AAPL
2020-01-16,75.92153589794125,76.43238014496747,75.55837921189631,76.32100677490234,108829200,AAPL
2020-01-17,76.57039503020573,77.16839349912196,76.26292494502901,77.16597747802734,137816400,AAPL
2020-01-21,76.79310129941813,77.23614913553814,76.5049964495613,76.64299774169922,110843200,AAPL
2020-01-22,77.12964119289799,77.4710093927943,76.82217116630478,76.91659545898438,101832400,AAPL
2020-01-23,76.96983114393875,77.3668785027068,76.42024944843635,77.2869873046875,104472000,AAPL
2020-01-24,77.53394558679635,78.2796239983564,76.87299781703734,77.06426239013672,146537600,AAPL
2020-01-27,75.06689673049003,75.48089322464955,73.81279759380895,74.79816436767578,161940000,AAPL
2020-01-28,75.68184343719155,77.08604612277858,75.58257973802782,76.91415405273438,162234000,AAPL
2020-01-29,78.5507976259598,79.37395133976464,77.80753513570895,78.52416229248047,216229200,AAPL
2020-01-30,77.60415772537527,78.46362551493233,77.17078871761717,78.41036224365234,126743200,AAPL
2020-01-31,77.69857485901245,78.12225762194025,74.63837863048332,74.93374633789062,199588400,AAPL
2020-02-03,73.67237945985059,75.89731989448796,73.16880546652003,74.72795867919922,173788400,AAPL
2020-02-04,76.3379328465804,77.38624896845539,75.93119925405388,77.19498443603516,136616400,AAPL
2020-02-05,78.32562106551018,78.62583557722229,77.21920945636545,77.82447052001953,118826800,AAPL
2020-02-06,78.09562750675829,78.73720276650342,77.53636686633509,78.73477935791016,105425600,AAPL
2020-02-07,78.23244174012544,78.48240085764334,77.1719355094332,77.6645736694336,117684000,AAPL
2020-02-10,76.24489635857795,78.03343963623047,76.1648155367922,78.03343963623047,109348800,AAPL
2020-02-11,78.53092392160836,78.60372465740163,77.3442200863521,77.56262969970703,94323200,AAPL
2020-02-12,78.01401820106558,79.409422447038,78.01401820106558,79.40457153320312,113730400,AAPL
2020-02-13,78.67410664216737,79.16674472243865,78.47025716819051,78.83912658691406,94747600,AAPL
2020-02-14,78.80758309855572,79.10851012138082,78.34892359887368,78.85855102539062,80113600,AAPL
2020-02-18,76.5312490357775,77.5966134445047,76.34923977828454,77.41460418701172,152531200,AAPL
